text,label,rate
ao bao dep a,POS,5
tuyet voi,POS,5
2 day ao khong giong trong,NEG,1
mui thom boi len da mem da,POS,5
vai dep day dan,POS,5
hang rat dep rat chi la ung y,POS,5
chat luong san pham tot date dai,POS,5
an noi va thai do phuc vu tot,POS,4
dong goi san pham chac chan,POS,5
tat son het ca chua dung ma vay r,NEG,2
shop phuc vu rat tot,POS,5
mac thi cung dc,NEU,3
chat vai khoi che,POS,5
thoi gian giao hang rat nhanh,POS,5
chat luong san pham tuyet voi,POS,4
vai hoi tho cung thoi gian giao hang nhanh,POS,5
chat luong sp chua that su dep nhe shop,POS,4
rat dang tien thoi gian giao hang rat nhanh,POS,5
quan rat dep mac vua van,POS,5
cam giac mua hang bi ho that te,NEG,2
khi mua ve nen di sua lai,NEG,2
voi gia nay thi san pham tam on chua dc goi la dep lam,NEU,3
rat dang tien thoi gian giao hang rat nhanh chat luong san pham tuyet voi,POS,5
gia ca chap nhan duoc,POS,4
nchung la rat on,POS,5
ao qua dep luon neu khong muon noi la dep may qua co ao moi di lam cty moi shop con mau nao trang nua de minh mua,POS,5
chua mac nhung thay chat day dan nhin chung la hai long,POS,5
chat vai da ok ma hinh thi siu ciu luon i shop rat nhiet tinh chiu,POS,5
giao hang nhanh,POS,5
thay kha okz thanks shop,POS,4
chat luong san pham tuyet voi se ung ho shop nhieu,POS,5
chat luong san pham tam duoc vai hoi kho va mong,POS,4
hang hoa lua dao,NEG,1
thoi gian giao hang nhanh,POS,4
anh in dep,POS,5
gia lai re,POS,5
quan ao super dep,POS,4
giao hang thieu nt cho shop da xem ma k co phan hoi gi,NEG,1
thank shop,POS,5
tuyet voi hon khi mua tren shopee thi duoc freeship,POS,5
tiec la ko dat them may chiec,POS,5
chat luong san pham tuyet voi dong goi san pham rat dep va chac chan shop phuc vu rat tot thoi gian giao hang rat nhanh,POS,5
dong ho mua ve k su dug dc,NEG,1
chat mem min mat,POS,5
giao thieu 1 b 80 k ma im re,NEG,1
san phr rat ung y,POS,5
chat luong san pham tuyet voi,POS,5
mua lan 2 roi 3,POS,5
nguc em cuzng bitnhf thuong thoi ma mac vao no vua day vua sang ca cai bau nguc,NEG,1
quan dot 2 dat tan 7 chiec ma chat quan hoan toan xa voi dot 1,POS,5
99 k cung dang mua,POS,5
quan dep vua form,POS,5
giao hang nhanh,POS,5
chat vai xau xu,NEG,2
sp tam duoc hoi rong so vs minh,NEU,3
dep chat mem mai mac rat thich chu shop nhiet tinh chat luong san pham tuyet voi shop phuc vu rat tot rat dang tien thoi gian giao hang rat nhanh,POS,5
giay nhem nhuoc o ban box nat,NEG,1
rat dang tien tuy nhien vai ko duoc co gian lam neu la ban gai tu 55 k tro len thi kho mac,NEU,3
du so luong,POS,4
ao y hinh chat luong san pham tuyet voi,POS,5
rat ung y va chat luong,POS,5
mat de trong tu lanh bi dong set lai khoang khong trong chai ko di chuyen nhu mat minh mua o dia phuong,NEG,2
ao so chat rat thich,POS,4
vay qua dep mac len rat ton da,POS,5
minh xai hop mau xanh sao lai thay khong thom nhi,POS,4
giao hang nhanh giong hinh,POS,5
shop tang them banh va 1 doi tat luoi nua dang yeu,POS,5
hang chat luong tot mang di em 3,POS,5
chat luong san pham tuyet voi nhung mau k giong hinh minh dat,POS,4
nguoi giao hang rat co tam day a,POS,5
hang tot i nhu trong hinh,POS,5
giao hang kha cham,NEG,2
ao dep hoi mong,NEU,3
dung hang loai 1 co khac tu cach dong goi den chat luong san pham qua tot,POS,5
chat luong san pham tuyet voi ngon bo re shop a,POS,5
man hinh to va kha la hd,POS,5
ao kha mong va cut hon minh nghi dong goi san pham ok,NEG,2
quan chua kip mac da buc 1 doan,NEG,2
minh 48 kg,NEU,3
minh mua sp chat giong anh goi hang dep giao hang nhanh gia ca hop ly,POS,4
chat ao thi k phai lan tann luon nhung form hoi to,POS,4
shop con co qua tang kem va the tich diem,POS,5
mang chay cham qua,NEG,1
