text,label,rate
áo bao đẹp ạ,POS,5
tuyệt vời,POS,5
2 day ao khong giong trong,NEG,1
mùi thơm bôi lên da mềm da,POS,5
vải đẹp dày dặn,POS,5
hàng rất đẹp rất chi là ưng ý,POS,5
chất lượng sản phẩm tốt date dài,POS,5
ăn nói và thái độ phục vụ tốt,POS,4
đóng gói sản phẩm chắc chắn,POS,5
tất sờn hết ca chưa dùng mà vay r,NEG,2
shop phục vụ rất tốt,POS,5
mặc thì cũng đc,NEU,3
chất vải khỏi chê,POS,5
thời gian giao hàng rất nhanh,POS,5
chất lượng sản phẩm tuyệt vời,POS,4
vải hơi thô cứng thời gian giao hàng nhanh,POS,5
chất lượng sp chưa thật sự đẹp nhe shop,POS,4
rất đáng tiền thời gian giao hàng rất nhanh,POS,5
quần rất đẹp mặc vừa vặn,POS,5
cảm giác mua hàng bị hớ thật tệ,NEG,2
khi mua về nên đi sửa lại,NEG,2
với giá này thì sản phẩm tạm ổn chưa đc gọi là đẹp lắm,NEU,3
rất đáng tiền thời gian giao hàng rất nhanh chất lượng sản phẩm tuyệt vời,POS,5
giá cả chấp nhận được,POS,4
nchung là rất ổn,POS,5
áo quá đẹp luôn nếu không muốn nói là đẹp may quá có áo mới đi làm cty mới shop còn mẫu nào trắng nữa để mình mua,POS,5
chưa mặc nhưng thấy chất dày dặn nhìn chung là hài lòng,POS,5
chất vải đã ok mà hình thì siu ciu luôn í shop rất nhiệt tình chịu,POS,5
giao hàng nhanh,POS,5
thấy khá okz thanks shop,POS,4
chất lượng sản phẩm tuyệt vời sẽ ủng hộ shop nhiều,POS,5
chất lượng sản phẩm tạm được vải hơi khô và mỏng,POS,4
hàng hóa lừa đảo,NEG,1
thời gian giao hàng nhanh,POS,4
ảnh in đẹp,POS,5
giá lại rẻ,POS,5
quần áo super đẹp,POS,4
giao hàng thiếu nt cho shop đã xem mà k có phản hồi gì,NEG,1
thank shop,POS,5
tuyệt vời hơn khi mua trên shopee thì được freeship,POS,5
tiếc là ko đặt thêm mấy chiếc,POS,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt thời gian giao hàng rất nhanh,POS,5
đồng hồ mua về k sử dụg đc,NEG,1
chất mềm mịn mát,POS,5
giao thiếu 1 b 80 k mà im re,NEG,1
sản phr rất ưng ý,POS,5
chất lượng sản phẩm tuyệt vời,POS,5
mua lần 2 rồi 3,POS,5
ngực em cuzng bitnhf thường thôi mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực,NEG,1
quần đợt 2 đặt tận 7 chiếc mà chất quần hoàn toàn xa với đợt 1,POS,5
99 k cũng đáng mua,POS,5
quần đẹp vừa form,POS,5
giao hàng nhanh,POS,5
chất vải xấu xù,NEG,2
sp tạm được hơi rộng so vs mình,NEU,3
đẹp chất mềm mại mặc rất thích chủ shop nhiệt tình chất lượng sản phẩm tuyệt vời shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh,POS,5
giày nhem nhuốc ố bẩn box nát,NEG,1
rất đáng tiền tuy nhiên vải ko được co giãn lắm nếu là bạn gái từ 55 k trở lên thì khó mặc,NEU,3
đủ số lượng,POS,4
áo y hình chất lượng sản phẩm tuyệt vời,POS,5
rất ưng ý và chất lượng,POS,5
mật để trong tủ lạnh bị đóng sệt lại khoảng không trong chai ko di chuyển như mật mình mua ở địa phương,NEG,2
áo sờ chất rất thích,POS,4
váy quá đẹp mặc lên rất tôn da,POS,5
mình xài hộp màu xanh sao lại thấy không thơm nhỉ,POS,4
giao hàng nhanh giống hình,POS,5
shop tặng thêm bánh và 1 đôi tất lười nữa đáng yêu,POS,5
hàng chất lượng tốt mang đi êm 3,POS,5
chất lượng sản phẩm tuyệt vời nhưng màu k giống hình minh đặt,POS,4
người giao hàng rất có tâm đấy ạ,POS,5
hàng tốt i như trong hình,POS,5
giao hàng khá chậm,NEG,2
áo đẹp hơi mỏng,NEU,3
đúng hàng loại 1 có khác từ cách đóng gói đến chất lượng sản phẩm quá tốt,POS,5
chất lượng sản phẩm tuyệt vời ngon bổ re shop a,POS,5
màn hình to và khá là hd,POS,5
áo khá mỏng và cụt hơn mình nghĩ đóng gói sản phẩm ok,NEG,2
quần chưa kịp mặc đã bục 1 đoạn,NEG,2
mình 48 kg,NEU,3
mình mua sp chất giống ảnh gói hàng đẹp giao hàng nhanh giá cả hợp lý,POS,4
chất áo thì k phải lăn tănn luôn nhưng form hơi to,POS,4
shop còn có quà tặng kèm và thẻ tích điểm,POS,5
mạng chạy chậm quá,NEG,1
vừa khít bụng mình mà không bị hằn cấn,POS,4
mua lần 2,POS,4
chất lượng sản phẩm tốt,POS,5
rất ưng ý,POS,5
hàng thì siêu yêu siêu mềm mịn,POS,5
chất liệu vải tốt so với giá 100 k,POS,4
chất lượng sản phẩm tạm được thời gian giao hàng tạm được đóng gói sản phẩm tạm được,NEU,3
đóng gói kĩ áo còn lại đẹp,POS,5
giao nhầm hàng ib shop k trả lời,NEG,1
màu bạc rất sáng lấp lánh hơn màu hồng,POS,4
chất áo dày dặn form áo đẹp,POS,5
ống quần bên to bên nhỏ size s và l bằng nhau,NEG,2
đóng gói gọn gàng đẹp đẽ chất lượng sản phẩm tuyệt vời rất đáng tiền thời gian giao hàng rất nhanh,POS,5
chất lượng sản phẩm tương xứng giá tiền mua mặc thay đổi kiểu thì ok,POS,5
ốc hơi lỏng cho thêm cái vặn vít k đang bao nhiêu nhưng quý hơn cái dây kia bạn ạ,NEU,3
chất lượng sản phẩm tuyệt vời,POS,5
shop phục vụ rất tốt hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy giá sale hàng rất oke thanks shop,POS,5
ren hơi mềm nên làm dáng áo ko được cứng nâng ngực tạm đc,POS,4
giao hàng lâu,NEG,2
sz 34 mà khung ngực nhỏ quá,NEG,2
đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
hàng y hình rất đẹp ạ,POS,5
thái đô kém thời gian giao hàng rất chậm shop phục vụ rất kém,NEG,1
bàn tay mỏng nên ko nâng lắm,NEG,2
đẹp lắm đấy,POS,4
áo giống hình chất vải hơi nóng,POS,4
đóng gỏi không cẩn thận shop nên đong hộp cứng đỡ bị móp bẹp túi,NEG,1
giao hàng nhanh mua sp thì hỏi kĩ trước tránh thất vọng,NEU,3
đóng gói sản phẩm rất đẹp và chắc chắc,POS,5
thời gian giao hàng rất nhanh dầy dặn đẹp,POS,5
có giống hình nhưng vải rất mỏng không đúng như trong hình giá tiền tương đương với sản phẩm,NEG,2
chủ shop tư vấn rất nhiệt tình đầm lên form rất đẹp hợp với dáng mình còn đc tặng kèm qà,POS,5
váy còn đẹp và chuẩn hơn trong hình nữa,POS,5
sz 2 bộ xanh và hồng ko giống nhau,NEG,1
áo rẻ đẹp phù hợp giá tiền,POS,4
áo vải cực đẹp y hình có điều to hơn mong đợi,POS,5
chất lượng sản phẩm tuyệt vời,POS,5
chất lượng sản phẩm tuyệt vời đồ rất đẹp sẽ ủng hộ shop tiếp,POS,5
sa n pha n mơ i chất lượng sản phẩm tuyệt vời,POS,5
giao hàng nhanh,POS,5
rất ngon nhưng mà theo em thì nên xé nhỏ khô lại,POS,4
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh,POS,5
chất ok á nhưng rep ib thì hơi lâu,POS,4
luôn ủng hộ shop,POS,5
âm thanh rất dở,NEG,1
xấu và nhìn phom áo chán đời luôn,NEG,1
chất lượng sản phẩm tốt đáng đồng tiền,POS,5
chuẩn quần vải đẹp ôm gọn chân mà vải còn mát nữa,POS,5
shop vận chuyển hàng nhanh váy khá ổn mà còn đc tặng quà nữa hihi lắc tay nhỏ nhỏ xinh xinh khi nào đeo cho bé nhà,POS,5
nhìn cái áo cũ màu không đẹp vãi mỏng không đág tiền lắm,NEG,2
đập vào mắt là <num> làm mất hứng sản phẩm được màu đậm hơn hình áo có mùi như thuốc tẩy giặt mãi ko hết,NEG,2
chuẩn hàng bitis,POS,4
màu ko đẹp như hình chup,NEG,1
hàng đẹp giao nhanh,POS,5
chất lượng sản phẩm tuyệt vời vải ok thích hợp cho những ai thích mang form rộng lắm nè,POS,5
hợp với giá <num> k,POS,5
form áo xấu lắm mặc lên như tá điền chỗ tà áo bên dưới rất dài chứ ko ngăn như ảnh mẫu mặc bảo sao thấy quay clip gập đôi áo vào,NEG,2
thời gian giao hàng rất nhanh,POS,5
công nghệ hơi lạ ko biết có bền ko,NEU,3
gối hơi nhỏ,NEG,2
áo nhìn xinh shop nói chuyện cực đáng yêu,POS,5
chất lượng sản phẩm tạm được chiều dài áo ngắn quá,NEU,3
mùi len hơi nặng đã giặt nhưng vẫn còn nặng mùi,NEG,1
vải oke lắm luôn,POS,5
sản phẩm tạm được đóng gói không đẹp,NEG,2
chưa thấy shop nào hãm l thế này,NEG,1
sản phẩm rất ok kể cả áo trong của nữ chất vải cũng mềm đẹp mang lên sang chảnh tui mình diện đi sinh nhật ai cũng khen đẹp đôi nói chung là rất hài lòng,POS,5
tầm giá là sử dụng tot,POS,5
không dùng được,NEG,2
chất lượng sản phẩm tạm được a o hơi ngă n so vơ i hi nh,NEG,2
